logtime	mic	cpu_user	cpuT	memT	totW
1458049871	mic4	0.36	61.00	46.00	115.00
1458049872	mic5	0.36	69.00	52.00	114.00
1458049903	mic0	99.71	54.00	39.00	164.00
1458049904	mic1	0.36	66.00	53.00	118.00
1458049904	mic2	99.71	74.00	58.00	184.00
1458049905	mic3	94.21	60.00	43.00	168.00
1458049906	mic4	99.69	66.00	46.00	171.00
1458049907	mic5	37.71	67.00	52.00	124.00
1458049938	mic0	20.72	52.00	40.00	149.00
1458049939	mic1	0.00	67.00	53.00	113.00
1458049940	mic2	99.78	73.00	57.00	185.00
1458049941	mic3	0.35	57.00	42.00	117.00
1458049942	mic4	0.07	66.00	47.00	112.00
1458049943	mic5	98.66	71.00	52.00	196.00
1458049974	mic0	0.31	51.00	40.00	111.00
1458049975	mic1	60.83	68.00	53.00	146.00
1458049976	mic2	0.04	72.00	57.00	145.00
1458049977	mic3	0.31	56.00	43.00	117.00
1458049978	mic4	37.91	65.00	47.00	161.00
1458049979	mic5	99.63	69.00	52.00	168.00
1458050010	mic0	0.11	50.00	40.00	106.00
1458050011	mic1	99.80	68.00	53.00	173.00
1458050012	mic2	0.36	72.00	58.00	135.00
1458050012	mic3	0.00	58.00	43.00	112.00
1458050013	mic4	99.80	65.00	46.00	167.00
1458050014	mic5	98.72	69.00	52.00	167.00
1458050045	mic0	84.44	55.00	40.00	122.00
1458050046	mic1	100.00	69.00	53.00	171.00
1458050047	mic2	0.33	76.00	58.00	138.00
1458050048	mic3	95.76	62.00	43.00	193.00
1458050049	mic4	99.67	65.00	46.00	166.00
1458050050	mic5	99.80	69.00	51.00	167.00
1458050081	mic0	49.67	52.00	40.00	111.00
1458050082	mic1	99.77	68.00	53.00	172.00
1458050083	mic2	37.41	74.00	58.00	165.00
1458050084	mic3	99.80	59.00	42.00	170.00
1458050085	mic4	99.76	66.00	46.00	165.00
1458050086	mic5	91.46	68.00	51.00	169.00
1458050117	mic0	94.46	54.00	40.00	159.00
1458050118	mic1	99.22	67.00	53.00	170.00
1458050118	mic2	0.00	75.00	58.00	130.00
1458050119	mic3	100.00	59.00	42.00	168.00
1458050120	mic4	0.07	64.00	46.00	123.00
1458050121	mic5	0.37	67.00	52.00	115.00
1458050152	mic0	100.00	54.00	40.00	161.00
1458050153	mic1	0.55	65.00	53.00	128.00
1458050154	mic2	99.73	74.00	58.00	186.00
1458050155	mic3	99.76	58.00	42.00	168.00
1458050156	mic4	0.29	64.00	46.00	115.00
1458050157	mic5	61.46	68.00	52.00	148.00
1458050188	mic0	99.76	54.00	40.00	163.00
1458050189	mic1	0.36	65.00	53.00	117.00
1458050190	mic2	0.35	72.00	58.00	137.00
1458050191	mic3	0.07	56.00	42.00	132.00
1458050192	mic4	0.00	63.00	46.00	109.00
1458050193	mic5	0.35	68.00	52.00	116.00
1458050224	mic0	99.78	53.00	39.00	162.00
1458050225	mic1	8.85	67.00	53.00	137.00
1458050225	mic2	43.19	73.00	58.00	133.00
1458050226	mic3	0.37	56.00	42.00	116.00
1458050227	mic4	33.26	63.00	46.00	112.00
1458050228	mic5	25.68	69.00	52.00	114.00
1458050259	mic0	98.56	52.00	39.00	162.00
1458050260	mic1	0.00	66.00	53.00	117.00
1458050261	mic2	0.00	73.00	58.00	131.00
1458050262	mic3	0.34	57.00	42.00	116.00
1458050263	mic4	99.82	65.00	46.00	165.00
1458050264	mic5	0.11	67.00	52.00	114.00
1458050295	mic0	0.06	51.00	40.00	128.00
1458050296	mic1	59.09	70.00	53.00	198.00
1458050297	mic2	98.84	75.00	58.00	207.00
1458050298	mic3	24.00	58.00	42.00	147.00
1458050299	mic4	99.82	64.00	46.00	166.00
1458050300	mic5	0.09	68.00	52.00	114.00
1458050331	mic0	0.35	50.00	40.00	111.00
1458050331	mic1	99.79	69.00	53.00	171.00
1458050332	mic2	99.89	73.00	58.00	186.00
1458050333	mic3	0.00	58.00	42.00	115.00
1458050334	mic4	98.57	65.00	45.00	166.00
1458050335	mic5	46.48	68.00	52.00	133.00
1458050366	mic0	0.31	50.00	40.00	110.00
1458050367	mic1	99.88	68.00	53.00	171.00
1458050368	mic2	100.00	72.00	57.00	181.00
1458050369	mic3	0.00	57.00	42.00	111.00
1458050370	mic4	0.39	61.00	45.00	113.00
1458050371	mic5	99.79	69.00	52.00	169.00
1458050402	mic0	42.56	52.00	40.00	109.00
1458050403	mic1	99.83	68.00	53.00	171.00
1458050404	mic2	98.71	72.00	57.00	186.00
1458050405	mic3	99.60	63.00	42.00	188.00
1458050406	mic4	100.00	70.00	46.00	202.00
1458050407	mic5	99.79	69.00	52.00	167.00
1458050437	mic0	99.80	54.00	40.00	162.00
1458050438	mic1	0.27	66.00	52.00	130.00
1458050439	mic2	99.52	71.00	57.00	183.00
1458050440	mic3	86.72	59.00	42.00	162.00
1458050441	mic4	99.80	66.00	46.00	166.00
1458050442	mic5	33.36	68.00	52.00	112.00
1458050473	mic0	27.45	51.00	40.00	148.00
1458050474	mic1	0.35	65.00	53.00	117.00
1458050475	mic2	0.07	70.00	57.00	153.00
1458050476	mic3	99.97	59.00	42.00	168.00
1458050477	mic4	0.19	63.00	46.00	128.00
1458050478	mic5	0.36	68.00	52.00	114.00
1458050509	mic0	0.35	51.00	40.00	111.00
1458050510	mic1	0.37	66.00	53.00	119.00
1458050511	mic2	0.31	71.00	57.00	135.00
1458050512	mic3	99.67	58.00	42.00	168.00
1458050513	mic4	0.37	61.00	46.00	114.00
1458050513	mic5	0.33	67.00	52.00	115.00
1458050544	mic0	46.59	53.00	40.00	147.00
1458050545	mic1	30.39	66.00	53.00	117.00
1458050546	mic2	0.34	72.00	57.00	136.00
1458050547	mic3	99.80	59.00	42.00	168.00
1458050548	mic4	0.36	64.00	46.00	114.00
1458050549	mic5	40.82	69.00	52.00	133.00
1458050580	mic0	0.00	52.00	40.00	109.00
1458050581	mic1	0.06	67.00	53.00	114.00
1458050582	mic2	43.23	73.00	57.00	145.00
1458050583	mic3	99.91	58.00	42.00	166.00
1458050584	mic4	0.05	64.00	46.00	109.00
1458050585	mic5	0.00	68.00	52.00	111.00
1458050616	mic0	92.39	54.00	40.00	160.00
1458050617	mic1	19.61	67.00	53.00	144.00
1458050618	mic2	0.07	73.00	58.00	131.00
1458050619	mic3	99.84	58.00	42.00	169.00
1458050619	mic4	99.64	64.00	46.00	168.00
1458050620	mic5	99.82	69.00	52.00	170.00
1458050651	mic0	99.79	53.00	40.00	164.00
1458050652	mic1	99.98	71.00	53.00	199.00
1458050653	mic2	75.80	76.00	58.00	205.00
1458050654	mic3	0.32	56.00	42.00	127.00
1458050655	mic4	57.48	66.00	47.00	155.00
1458050656	mic5	31.37	68.00	52.00	152.00
1458050687	mic0	99.75	53.00	40.00	164.00
1458050688	mic1	79.04	69.00	53.00	152.00
1458050689	mic2	98.40	74.00	58.00	187.00
1458050690	mic3	0.39	56.00	42.00	116.00
1458050691	mic4	0.00	64.00	46.00	109.00
1458050692	mic5	0.39	67.00	52.00	114.00
1458050723	mic0	99.72	53.00	40.00	162.00
1458050724	mic1	99.83	68.00	53.00	171.00
1458050725	mic2	99.82	74.00	58.00	182.00
1458050725	mic3	0.34	56.00	42.00	117.00
1458050726	mic4	98.57	66.00	46.00	147.00
1458050727	mic5	0.33	67.00	52.00	113.00
1458050758	mic0	12.28	50.00	40.00	155.00
1458050759	mic1	100.00	68.00	53.00	171.00
1458050760	mic2	99.33	74.00	57.00	185.00
1458050761	mic3	0.36	57.00	42.00	116.00
1458050762	mic4	78.60	67.00	46.00	189.00
1458050763	mic5	60.11	68.00	52.00	115.00
1458050794	mic0	0.07	51.00	40.00	130.00
1458050795	mic1	100.00	68.00	53.00	172.00
1458050796	mic2	99.29	73.00	57.00	185.00
1458050797	mic3	27.89	58.00	42.00	147.00
1458050798	mic4	94.93	66.00	46.00	165.00
1458050799	mic5	0.05	68.00	52.00	115.00
1458050830	mic0	0.06	51.00	40.00	120.00
1458050830	mic1	0.18	66.00	52.00	122.00
1458050831	mic2	0.04	71.00	57.00	144.00
1458050832	mic3	6.04	58.00	42.00	128.00
1458050833	mic4	99.81	65.00	46.00	166.00
1458050834	mic5	38.84	68.00	52.00	149.00
1458050865	mic0	32.40	51.00	40.00	147.00
1458050866	mic1	99.98	73.00	54.00	209.00
1458050867	mic2	40.53	74.00	58.00	146.00
1458050868	mic3	99.88	63.00	42.00	192.00
1458050869	mic4	0.75	62.00	46.00	129.00
1458050870	mic5	0.00	68.00	52.00	110.00
1458050901	mic0	0.34	49.00	40.00	111.00
1458050902	mic1	99.81	69.00	54.00	172.00
1458050903	mic2	0.00	75.00	58.00	135.00
1458050904	mic3	61.41	59.00	42.00	146.00
1458050905	mic4	0.20	62.00	46.00	122.00
1458050906	mic5	34.72	68.00	52.00	114.00
1458050937	mic0	0.37	49.00	40.00	112.00
1458050938	mic1	99.76	68.00	53.00	173.00
1458050938	mic2	99.73	75.00	58.00	207.00
1458050939	mic3	99.81	59.00	42.00	168.00
1458050940	mic4	0.40	61.00	46.00	114.00
1458050941	mic5	59.94	70.00	52.00	141.00
1458050972	mic0	30.15	51.00	40.00	112.00
1458050973	mic1	99.81	68.00	53.00	171.00
1458050974	mic2	33.35	73.00	58.00	134.00
1458050975	mic3	99.77	59.00	42.00	168.00
1458050976	mic4	0.33	64.00	46.00	113.00
1458050977	mic5	100.00	69.00	52.00	167.00
1458051008	mic0	0.55	51.00	40.00	111.00
1458051009	mic1	100.00	68.00	53.00	170.00
1458051010	mic2	100.00	74.00	58.00	184.00
1458051011	mic3	99.78	58.00	42.00	168.00
1458051012	mic4	52.95	64.00	46.00	115.00
1458051013	mic5	99.60	69.00	52.00	168.00
1458051044	mic0	0.08	50.00	40.00	105.00
1458051044	mic1	0.07	66.00	52.00	132.00
1458051045	mic2	98.39	73.00	57.00	186.00
1458051046	mic3	99.56	58.00	42.00	169.00
1458051047	mic4	0.32	61.00	46.00	114.00
1458051048	mic5	99.98	69.00	52.00	167.00
1458051079	mic0	41.73	51.00	40.00	108.00
1458051080	mic1	100.00	73.00	53.00	210.00
1458051081	mic2	99.69	72.00	57.00	183.00
1458051082	mic3	0.33	57.00	43.00	117.00
1458051083	mic4	40.11	64.00	46.00	145.00
1458051084	mic5	99.85	69.00	52.00	167.00
1458051115	mic0	99.00	54.00	40.00	167.00
1458051116	mic1	99.62	70.00	53.00	173.00
1458051117	mic2	0.25	71.00	57.00	147.00
1458051118	mic3	44.64	59.00	43.00	150.00
1458051119	mic4	0.08	63.00	46.00	115.00
1458051120	mic5	99.73	68.00	51.00	167.00
1458051150	mic0	99.87	54.00	40.00	164.00
1458051151	mic1	99.87	68.00	53.00	171.00
1458051152	mic2	0.06	71.00	57.00	155.00
1458051153	mic3	3.64	57.00	43.00	120.00
1458051154	mic4	0.00	61.00	46.00	110.00
1458051155	mic5	99.81	69.00	51.00	166.00
1458051186	mic0	99.73	54.00	40.00	164.00
1458051187	mic1	99.81	68.00	53.00	173.00
1458051188	mic2	45.49	72.00	57.00	166.00
1458051189	mic3	0.07	57.00	43.00	115.00
1458051190	mic4	0.01	64.00	46.00	112.00
1458051191	mic5	99.84	68.00	51.00	167.00
1458051222	mic0	99.96	55.00	40.00	162.00
1458051223	mic1	99.85	68.00	53.00	169.00
1458051224	mic2	0.38	71.00	58.00	135.00
1458051225	mic3	99.64	60.00	43.00	151.00
1458051226	mic4	99.81	66.00	46.00	149.00
