#time	mic	%cpu	cpuT	memT	totW
1457974769	mic0	9.77	55.00	40.00	164.00
1457974770	mic1	9.83	68.00	52.00	170.00
1457974771	mic2	0.13	72.00	57.00	134.00
1457974772	mic3	9.79	58.00	42.00	168.00
1457974773	mic4	9.81	64.00	45.00	164.00
1457974774	mic5	0.06	68.00	51.00	135.00
1457974835	mic0	8.74	51.00	40.00	111.00
1457974836	mic1	0.35	68.00	53.00	118.00
1457974837	mic2	9.81	74.00	57.00	185.00
1457974838	mic3	9.87	58.00	42.00	168.00
1457974839	mic4	0.35	61.00	45.00	113.00
1457974840	mic5	0.05	68.00	52.00	111.00
1457974901	mic0	2.56	55.00	40.00	159.00
1457974901	mic1	9.27	67.00	53.00	114.00
1457974902	mic2	1.47	72.00	57.00	143.00
1457974903	mic3	0.18	58.00	42.00	151.00
1457974904	mic4	4.69	64.00	46.00	110.00
1457974905	mic5	9.83	69.00	51.00	171.00
1457974966	mic0	0.38	51.00	40.00	110.00
1457974967	mic1	8.70	69.00	53.00	173.00
1457974968	mic2	3.49	74.00	58.00	136.00
1457974969	mic3	8.81	62.00	42.00	193.00
1457974970	mic4	8.70	64.00	46.00	165.00
1457974971	mic5	9.98	72.00	52.00	205.00
1457975032	mic0	9.94	57.00	40.00	192.00
1457975033	mic1	0.35	65.00	52.00	118.00
1457975034	mic2	0.35	71.00	57.00	135.00
1457975035	mic3	9.78	57.00	41.00	168.00
1457975036	mic4	0.36	61.00	45.00	114.00
1457975037	mic5	0.37	67.00	52.00	113.00
1457975097	mic0	9.66	54.00	39.00	164.00
1457975098	mic1	8.25	69.00	53.00	154.00
1457975099	mic2	4.59	74.00	57.00	206.00
1457975100	mic3	0.37	56.00	42.00	116.00
1457975101	mic4	9.69	67.00	45.00	188.00
1457975102	mic5	8.74	71.00	52.00	194.00
1457975163	mic0	0.36	50.00	39.00	110.00
1457975164	mic1	8.79	69.00	52.00	170.00
1457975165	mic2	9.72	71.00	57.00	184.00
1457975166	mic3	0.05	57.00	42.00	115.00
1457975167	mic4	9.97	64.00	45.00	163.00
1457975168	mic5	0.51	66.00	51.00	115.00
1457975229	mic0	9.88	53.00	40.00	161.00
1457975230	mic1	0.35	65.00	53.00	118.00
1457975231	mic2	0.00	72.00	57.00	132.00
1457975232	mic3	9.77	58.00	42.00	168.00
1457975233	mic4	7.80	60.00	45.00	113.00
1457975233	mic5	8.53	68.00	52.00	167.00
1457975294	mic0	0.36	51.00	40.00	111.00
1457975295	mic1	9.01	71.00	53.00	198.00
1457975296	mic2	9.82	73.00	57.00	186.00
1457975297	mic3	0.03	55.00	42.00	127.00
1457975298	mic4	3.05	63.00	46.00	118.00
1457975299	mic5	0.36	67.00	52.00	114.00
1457975360	mic0	9.16	53.00	40.00	108.00
1457975361	mic1	9.75	67.00	52.00	171.00
1457975362	mic2	9.93	72.00	57.00	184.00
